Year;Campaign;Catalog;Category;Category 2;Physical Page;Physical Page 2;Display Page;Display Page 2;ID;ID 2;SKU;Title;Title 2;Variant;Price;Price Standard;Description;Images;Shade File;Unit Volume;Unit Measure
2025;06;katalog;POP-UP;POP-UP;;0;;;="81067";="81067";="81067";"Dárek k nákupu Eve One - vzorek v letáku";"Dárek k nákupu Eve One - vzorek v letáku";"";;;"";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_0081067.jpg?v=1748506987";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;171;171;167;167;="59048";="59048";="59048";"DĚTSKÁ SADA S OVOCNOU VŮNÍ";"DĚTSKÁ SADA S OVOCNOU VŮNÍ";"";269.90;389.70;"• Šampon a kondicionér 2 v 1 | 200 ml |
• Sprchový gel | 200 ml |
• Sprej na usnadnění rozčesávání | 200 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9802634.jpg?v=1747744094";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;173;173;169;169;="58305";="58305";="58305";"SADA NA NOHY S VŮNÍ LEVANDULE";"SADA NA NOHY S VŮNÍ LEVANDULE";"";245.90;379.70;"• Maska na nohy | 75 ml |
• Sprej na nohy | 100 ml |
• Noční krém na nohy | 150 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9802635.jpg?v=1747744094";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;186;186;182;182;="58438";="58438";="58438";"2DÍLNÁ PÁNSKÁ SADA";"2DÍLNÁ PÁNSKÁ SADA";"";149.90;199.80;"• Pěna do koupele  s vůní vodní máty  a okurky | 500 ml |
• Sprchový gel na tělo  a vlasy s vůní šalvěje  a santalového dřeva | 500 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9802636.jpg?v=1747744095";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;81;81;77;77;="58511";="58511";="58511";"SADA PERFECT NONSENSE PEPPERY PEACHES";"SADA PERFECT NONSENSE PEPPERY PEACHES";"";449.90;529.80;"• EDP | 50 ml |
• Sprchový gel | 150 ml";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9802638.jpg?v=1747744095";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;53;53;49;49;="58354";="58354";="58354";"Sada řasenky a micelární vody - Brown Black";"Sada řasenky a micelární vody - Brown Black";"Brown Black";299.90;369.80;"• Micelární čisti cí pleťová  voda | 400 ml |
• Řasenka Lash Genius Multitask & Multiply | 10 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9802641.jpg?v=1747744095";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;109;109;105;105;="59246";="59246";="59246";"OMLAZUJÍCÍ SADA  ANEW SENSITIVE+  S PROTINOLEM™";"OMLAZUJÍCÍ SADA  ANEW SENSITIVE+  S PROTINOLEM™";"";499.90;679.80;"• Oční krém | 15 ml |
• Pleťový krém | 50 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9802642.jpg?v=1747744095";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;105;105;101;101;="58479";="58479";="58479";"ROZJASŇUJÍCÍ DUO";"ROZJASŇUJÍCÍ DUO";"";449.90;679.80;"• Rozjasňující sérum s vitaminem C | 30 ml |
• Denní krém SPF 50 s vitaminem C | 50 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9802643.jpg?v=1747744096";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;94;94;90;90;="65342";="65342";="65342";"SADA RARE PEARLS";"SADA RARE PEARLS";"";449.90;549.80;"• Tělové mléko | 125 ml |
• EDP | 50 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9802747.jpg?v=1747744096";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;87;87;83;83;="58172";="58172";="58172";"SADA ATTRACTION FOR HER";"SADA ATTRACTION FOR HER";"";599.90;819.80;"• EDP minibalení | 10 ml |
• EDP | 50 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9803025.jpg?v=1747744096";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
